origin.x,date_ymd,mean_temp
EWR,2013-01-01,36.954054054054055
EWR,2013-01-02,29.087391304347825
EWR,2013-01-03,29.98
EWR,2013-01-04,35.95647058823529
EWR,2013-01-05,38.907272727272726
EWR,2013-01-06,42.21685950413223
EWR,2013-01-07,41.64173913043478
EWR,2013-01-08,42.04125
EWR,2013-01-09,44.88984615384616
EWR,2013-01-10,44.29294117647059
EWR,2013-01-11,42.80171428571428
EWR,2013-01-12,45.084736842105265
EWR,2013-01-13,45.894666666666666
EWR,2013-01-14,51.34377358490566
EWR,2013-01-15,38.24
EWR,2013-01-16,35.477446808510635
EWR,2013-01-17,41.62315789473684
EWR,2013-01-18,28.682
EWR,2013-01-19,43.667096774193546
EWR,2013-01-20,46.638636363636365
EWR,2013-01-21,30.36536585365854
EWR,2013-01-22,20.497333333333334
EWR,2013-01-23,16.96938775510204
EWR,2013-01-24,20.356923076923078
EWR,2013-01-25,19.9385
EWR,2013-01-26,21.59243243243243
EWR,2013-01-27,29.63375
EWR,2013-01-28,33.341
EWR,2013-01-29,42.167142857142856
EWR,2013-01-30,50.51219512195122
EWR,2013-01-31,43.38444444444445
EWR,2013-02-01,29.345957446808512
EWR,2013-02-02,25.68285714285714
EWR,2013-02-03,28.298461538461538
EWR,2013-02-04,28.440363636363635
EWR,2013-02-05,29.93578947368421
EWR,2013-02-06,36.242222222222225
EWR,2013-02-07,29.70736842105263
EWR,2013-02-08,33.742399999999996
EWR,2013-02-09,29.327906976744185
EWR,2013-02-10,29.1275
EWR,2013-02-11,40.97260869565217
EWR,2013-02-12,42.0536
EWR,2013-02-13,39.77870967741936
EWR,2013-02-14,41.18489795918367
EWR,2013-02-15,45.0584
EWR,2013-02-16,35.918
EWR,2013-02-17,27.478947368421053
EWR,2013-02-18,29.078260869565216
EWR,2013-02-19,42.57846153846154
EWR,2013-02-20,31.10875
EWR,2013-02-21,30.343636363636364
EWR,2013-02-22,33.74697674418605
EWR,2013-02-23,39.365
EWR,2013-02-24,41.98714285714286
EWR,2013-02-25,40.57
EWR,2013-02-26,39.608260869565214
EWR,2013-02-27,45
EWR,2013-02-28,45.62827586206897
EWR,2013-03-01,40.870769230769234
EWR,2013-03-02,36.21875
EWR,2013-03-03,35.22695652173913
EWR,2013-03-04,35.851052631578945
EWR,2013-03-05,40.36538461538461
EWR,2013-03-06,40.6325
EWR,2013-03-07,36.25884615384616
EWR,2013-03-08,35.882
EWR,2013-03-09,46.29333333333334
EWR,2013-03-10,40.3796
EWR,2013-03-11,47.51647058823529
EWR,2013-03-12,51.55720930232558
EWR,2013-03-13,45.47
EWR,2013-03-14,36.025555555555556
EWR,2013-03-15,41.385714285714286
EWR,2013-03-16,35.531627906976745
EWR,2013-03-17,34.75678571428571
EWR,2013-03-18,32.86571428571428
EWR,2013-03-19,39.85121951219512
EWR,2013-03-20,41.355636363636364
EWR,2013-03-21,34.7315
EWR,2013-03-22,36.45111111111111
EWR,2013-03-23,41.88340425531915
EWR,2013-03-24,40.99
EWR,2013-03-25,38.2004
EWR,2013-03-26,45.71
EWR,2013-03-27,45.851147540983604
EWR,2013-03-28,45.27846153846154
EWR,2013-03-29,49.775
EWR,2013-03-30,49.71591836734694
EWR,2013-03-31,48.46739130434783
EWR,2013-04-01,52.26625
EWR,2013-04-02,39.49559633027523
EWR,2013-04-03,41.3804
EWR,2013-04-04,41.641739130434786
EWR,2013-04-05,53.09214285714286
EWR,2013-04-06,43.73571428571429
EWR,2013-04-07,50.05647058823529
EWR,2013-04-08,59.020307692307696
EWR,2013-04-09,71.13529411764706
EWR,2013-04-10,60.5612
EWR,2013-04-11,53.63138461538462
EWR,2013-04-12,43.498823529411766
EWR,2013-04-13,49.23945945945946
EWR,2013-04-14,54.613617021276596
EWR,2013-04-15,49.555217391304346
EWR,2013-04-16,56.6684
EWR,2013-04-17,62.54
EWR,2013-04-18,54.711525423728816
EWR,2013-04-19,63.25563636363636
EWR,2013-04-20,54.38947368421053
EWR,2013-04-21,46.89529411764706
EWR,2013-04-22,48.505538461538464
EWR,2013-04-23,46.1665625
EWR,2013-04-24,56.05117647058824
EWR,2013-04-25,55.50246153846154
EWR,2013-04-26,58.65102040816326
EWR,2013-04-27,61.30842105263158
EWR,2013-04-28,59.41411764705882
EWR,2013-04-29,54.429655172413796
EWR,2013-04-30,58.53619047619048
EWR,2013-05-01,57.687659574468086
EWR,2013-05-02,59.425172413793106
EWR,2013-05-03,55.76101694915254
EWR,2013-05-04,56.44372093023256
EWR,2013-05-05,53.42333333333333
EWR,2013-05-06,56.27923076923077
EWR,2013-05-07,62.641111111111115
EWR,2013-05-08,61.08548387096774
EWR,2013-05-09,62.23032258064516
